WARD,ANC,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE
80,88,129,214,386,15246,723,7838,41,19,9,0,12,16
80,90,128,226,372,15247,724,7839,42,19,9,1,12,16
80,88,129,215,396,15248,725,7840,56,20,10,1,12,16
80,89,130,219,384,15249,577,7623,45,19,10,0,12,16
80,90,128,224,386,15250,520,7627,55,20,10,4,12,15
80,88,129,213,388,15251,536,7724,56,20,10,1,12,16
80,89,130,231,484,15252,630,7841,44,19,10,1,12,16
80,88,129,214,383,15253,552,7660,41,19,10,3,14,15
80,91,129,210,387,15254,575,7683,55,20,10,1,12,16
80,89,130,220,384,15255,603,7711,45,19,10,1,12,16
80,88,129,214,386,15256,596,7704,41,19,11,0,12,16
80,88,129,212,386,15257,532,7640,41,19,11,1,12,16
80,89,130,231,484,15258,693,7706,44,19,11,4,12,15
80,90,128,226,372,15259,530,7638,42,19,11,0,12,16
80,88,129,215,385,15260,592,7700,41,19,9,1,12,16
80,89,130,231,369,15261,562,7690,44,19,10,4,14,15
80,88,129,213,388,15262,507,7772,56,20,10,0,12,16
80,90,128,223,371,15263,726,7842,42,19,10,1,12,16
80,89,130,219,384,15264,727,7843,45,19,11,4,12,15
80,90,128,225,372,15265,529,7637,42,19,11,4,12,15
80,88,129,213,388,15266,728,7844,41,19,10,1,12,16
80,88,129,213,389,15267,525,7632,56,20,11,1,12,16
80,88,129,214,386,15268,507,7614,41,19,10,0,12,16
80,88,129,211,388,15269,541,7649,51,20,10,5,12,16
80,89,130,219,384,15270,729,7845,45,19,10,4,13,15
80,88,129,215,390,15271,689,7801,56,20,10,4,12,15
80,88,129,211,388,15272,507,7846,56,20,10,4,12,15
80,90,128,223,382,15273,666,7776,42,19,9,0,12,16
80,91,129,209,387,15274,512,7619,55,20,11,7,12,15
80,88,129,221,383,15275,563,7670,41,19,9,3,12,15
80,89,130,230,369,15276,505,7635,44,19,11,0,12,16
80,89,130,219,367,15277,730,7847,45,19,11,0,12,16
80,89,130,231,369,15278,604,7663,44,19,9,1,12,16
80,89,130,231,369,15279,731,7848,44,19,10,1,12,16
80,88,129,213,389,15280,691,7803,56,20,10,1,12,16
80,88,129,214,386,15281,507,7614,41,19,9,3,14,15
80,88,129,214,383,15282,552,7660,41,19,9,3,14,15
80,88,129,215,385,15283,636,7747,41,19,9,0,12,16
80,89,130,231,369,15284,557,7612,44,19,10,1,12,16
80,88,129,214,386,15285,690,7802,41,19,10,1,12,16
80,88,129,213,389,15286,691,7849,56,20,11,1,12,16
80,88,129,216,385,15287,732,7850,41,19,10,1,12,16
80,89,130,231,484,15288,585,7702,45,19,10,3,12,15
80,89,130,231,369,15289,733,7851,44,19,10,1,12,16
80,89,130,231,484,15290,630,7823,44,19,10,1,12,16
80,91,129,210,387,15291,692,7806,55,20,11,0,12,16
80,89,130,231,484,15292,734,7852,44,19,11,1,12,16
80,88,129,216,385,15293,735,7853,41,19,11,2,12,16
80,90,128,226,372,15294,623,7732,42,19,11,0,12,16
